org_id,org_name,url,hgnc_id,symbol,orphacode,country,org_type,registry_platform,registry_url,natural_history_study,data_elements_documented,irb_status,maturity_stage,coalitions,contact,status,source,reviewed_by,review_date,notes
,CACNA1A Foundation,https://www.cacna1a.org/,HGNC:1388,CACNA1A,2131;2382;442835;569;71518;97;98758,United States of America,foundation,Foundation-hosted,https://www.cacna1a.org/participate-research,yes,,,,,info@cacna1a.org,candidate,epilepsylive_orgs;everycure_rdnp,,,EveryCure RDNP list; focus: CACNA1A-related disorders; biobank; founded 2020
,CADASIL Together We Have Hope,https://www.cadasilfoundation.org/,,,,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy; biobank; founded 1995
,CHAMP1 Research Foundation,https://champ1foundation.org/,HGNC:20311,CHAMP1,692193,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,"EveryCure RDNP list; focus: Developmental delay, hypotonia, cerebral palsy, autism, and epilepsy among many other diagnoses a result of a change in the CHAMP1 gene.; biobank; founded 2018"
,Charlotte & Gwenyth Gray Foundation to Cure Batten Disease at The Giving Back Fund,https://www.curebatten.org/,,,,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp;registries_2020,,,EveryCure RDNP list; focus: Batten disease; founded 2016
,Cheyanna’s Champions 4 Children (CC4C),https://www.cc4c.org/,,CC4C,,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: Rare diseases NOS; founded 2012
,The Chromosome 18 Registry & Research Society,https://www.chromosome18.org/,,,,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp;registries_2020,,,"EveryCure RDNP list; focus: The organizations focuses on chromosome 18 conditions. These include 18p-, 18q-, Ring 18, Tetrasomy 18p, Trisomy 18,  Pitt Hopkins Syndrome, translocations, par; founded 1990"
,"Chromosome Disorder Outreach, Inc.",https://chromodisorder.org/,,,,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp;registries_2020,,,EveryCure RDNP list; focus: Chromosome disorders NOS; founded 1992
,Citizens United for Research in Epilepsy,https://www.cureepilepsy.org/,,,,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: Rare epilepsy; founded 1998
,Gould Syndrome Foundation,https://gouldsyndromefoundation.org/,HGNC:2202,COL4A1,36383;477749;481986;73229;75326;899;99810,United States of America,foundation,,https://www.gouldsyndromefoundation.org/medical-research/gould-syndrome-patient-registry-article,yes,,,,,,candidate,epilepsylive_orgs;everycure_rdnp,,,EveryCure RDNP list; focus: Gould syndrome; founded 2018
,COMBINEDBrain,https://combinedbrain.org/,HGNC:15766,ADNP,404448;700160,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: The websites mission statement states that there interest is in severe rare genetic non-verbal neurodevelopmental disorders. Based on their research projects th; biobank; founded 2019
,COMBINEDBrain,https://combinedbrain.org/,HGNC:1388,CACNA1A,2131;2382;442835;569;71518;97;98758,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: The websites mission statement states that there interest is in severe rare genetic non-verbal neurodevelopmental disorders. Based on their research projects th; biobank; founded 2019
,COMBINEDBrain,https://combinedbrain.org/,HGNC:20311,CHAMP1,692193,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: The websites mission statement states that there interest is in severe rare genetic non-verbal neurodevelopmental disorders. Based on their research projects th; biobank; founded 2019
,COMBINEDBrain,https://combinedbrain.org/,HGNC:3811,FOXG1,261144;442835;598164,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: The websites mission statement states that there interest is in severe rare genetic non-verbal neurodevelopmental disorders. Based on their research projects th; biobank; founded 2019
,COMBINEDBrain,https://combinedbrain.org/,HGNC:4586,GRIN2B,589547;697160,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: The websites mission statement states that there interest is in severe rare genetic non-verbal neurodevelopmental disorders. Based on their research projects th; biobank; founded 2019
,COMBINEDBrain,https://combinedbrain.org/,HGNC:5042,HNRNPH2,662198,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: The websites mission statement states that there interest is in severe rare genetic non-verbal neurodevelopmental disorders. Based on their research projects th; biobank; founded 2019
,COMBINEDBrain,https://combinedbrain.org/,HGNC:888,KIF1A,101010;662367;970,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: The websites mission statement states that there interest is in severe rare genetic non-verbal neurodevelopmental disorders. Based on their research projects th; biobank; founded 2019
,COMBINEDBrain,https://combinedbrain.org/,HGNC:7975,NR2F1,401777,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: The websites mission statement states that there interest is in severe rare genetic non-verbal neurodevelopmental disorders. Based on their research projects th; biobank; founded 2019
,COMBINEDBrain,https://combinedbrain.org/,HGNC:21637,SATB2,251019;251028;576283,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: The websites mission statement states that there interest is in severe rare genetic non-verbal neurodevelopmental disorders. Based on their research projects th; biobank; founded 2019
,COMBINEDBrain,https://combinedbrain.org/,HGNC:10588,SCN2A,140927;178469;1934;2131;293181;306;33069;36387;697160,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: The websites mission statement states that there interest is in severe rare genetic non-verbal neurodevelopmental disorders. Based on their research projects th; biobank; founded 2019
,COMBINEDBrain,https://combinedbrain.org/,HGNC:10596,SCN8A,178469;306;442835;86909,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: The websites mission statement states that there interest is in severe rare genetic non-verbal neurodevelopmental disorders. Based on their research projects th; biobank; founded 2019
,COMBINEDBrain,https://combinedbrain.org/,HGNC:15573,SETBP1,436151;798,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: The websites mission statement states that there interest is in severe rare genetic non-verbal neurodevelopmental disorders. Based on their research projects th; biobank; founded 2019
,COMBINEDBrain,https://combinedbrain.org/,HGNC:11042,SLC6A1,178469;1942;435638,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: The websites mission statement states that there interest is in severe rare genetic non-verbal neurodevelopmental disorders. Based on their research projects th; biobank; founded 2019
,COMBINEDBrain,https://combinedbrain.org/,HGNC:11444,STXBP1,495818;599373,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: The websites mission statement states that there interest is in severe rare genetic non-verbal neurodevelopmental disorders. Based on their research projects th; biobank; founded 2019
,COMBINEDBrain,https://combinedbrain.org/,HGNC:11497,SYNGAP1,1942;442835;544254,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: The websites mission statement states that there interest is in severe rare genetic non-verbal neurodevelopmental disorders. Based on their research projects th; biobank; founded 2019
,Connecting Families Urea Cycle Disorders Foundation,https://ucdfamily.org/,HGNC:2323,CPS1,147,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp,,,"EveryCure RDNP list; focus: Urea cycle disorders (UCDs), a group of inborn errors of metabolism affecting the detoxification of nitrogen. Six examples of specific disorders, related to enz; founded 2016"
,Consortium for Outcome Measures and Biomarkers for Neurodevelopmental Disorders,https://www.combinedbrain.org/,,,,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: Rare developmental disorders; founded 2018
,CSNK2A1 Foundation,https://www.csnk2a1foundation.org/,HGNC:2457,CSNK2A1,528084,United States of America,foundation,REDCap,https://www.csnk2a1foundation.org/contact-registry,yes,,,,,info@csnk2a1foundation.org,candidate,epilepsylive_orgs;everycure_rdnp,,,EveryCure RDNP list; focus: Okur-Chung neurodevelopmental syndrome; founded 2018
,CTNNB1 Syndrome Awareness Worldwide,https://www.ctnnb1.org/,HGNC:2514,CTNNB1,1501;210159;2780;33402;404473;54595;569248;689430;873;891;91414;952,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: CTNNB1 Syndrome; founded 2017
,Cure CMT4J/ Talia Duff Foundation,http://www.curecmt4j.org/,HGNC:16873,FIG4,139515;208441;3472;803,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: Charcot-Marie-Tooth disease; founded 2016
,Cure GM1 Foundation,https://curegm1.org/,,GM1,,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp;fda_pfdd,,,EveryCure RDNP list; focus: GM1 gangliosidosis; biobank; founded 2015
,"CureCADASIL/CADASIL Association, Inc",https://curecadasil.org,,,,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp;registries_2020,,,EveryCure RDNP list; focus: Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy; founded 2012
,CureSHANK,https://www.cureshank.org/,HGNC:15474,SHANK1,,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp,,,"EveryCure RDNP list; focus: Shankopathies are SHANK protein deficiency-induced synaptic diseases.  The SHANK protein family includes three members:  SHANK1, SHANK2, and SHANK3. Shankopathi; founded 2019"
,CureSHANK,https://www.cureshank.org/,HGNC:14295,SHANK2,,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp,,,"EveryCure RDNP list; focus: Shankopathies are SHANK protein deficiency-induced synaptic diseases.  The SHANK protein family includes three members:  SHANK1, SHANK2, and SHANK3. Shankopathi; founded 2019"
,CureSHANK,https://www.cureshank.org/,HGNC:14294,SHANK3,662169;662172,United States of America,foundation,,,unknown,,,,,,candidate,epilepsylive_orgs;everycure_rdnp;fda_pfdd,,,"EveryCure RDNP list; focus: Shankopathies are SHANK protein deficiency-induced synaptic diseases.  The SHANK protein family includes three members:  SHANK1, SHANK2, and SHANK3. Shankopathi; founded 2019"
,DADA2 Foundation,https://dada2.org/,,DADA2,,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: Deficiency of Adenosine Deaminase 2; founded 2016
,"Dravet Syndrome Foundation, Inc.",https://www.dravetfoundation.org/,,,,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: Dravet syndrome; biobank; founded 2009
,DYRK1A Syndrome International Association,http://www.dyrk1a.org/,HGNC:3091,DYRK1A,268261;464311,United States of America,foundation,,https://www.simonssearchlight.org/research/what-we-study/dyrk1a/,unknown,,,,,,candidate,epilepsylive_orgs;everycure_rdnp,,,EveryCure RDNP list; focus: DYRK1A Syndrome; founded 2016
,EBF3 HADDS Foundation,https://www.hadds.org/,HGNC:19087,EBF3,658843;96148,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: Hypotonia Ataxia and Delayed Development Syndrome; founded 2018
,Epilepsy Alliance America,https://www.epilepsyallianceamerica.org/,,,,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: Rare epilepsy; founded 2018
,Ethan’s Reason,https://ethansreason.org/,,,,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: Batten disease; founded 2014
,ForeBatten Foundation,https://www.forebatten.org/,,,,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: Batten disease; founded 2018
,Foundation for Angelman Syndrome Therapeutics (FAST),https://cureangelman.org/,,,,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: Angelman Syndrome; founded 2008
,Foundation for Batten Hope,https://battenhope.org/,,,,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: Batten disease; founded 2019
,Foundation to Fight H-abc,https://www.h-abc.org/,HGNC:20774,TUBB4A,139441;98805,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: Hypomyelination with atrophy of the basal ganglia and cerebellum (H-ABC) and other TUBB4A-related leukodystrophies; founded 2015
,Gene Giraffe Project,http://www.genegiraffe.org/,,GM1,,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: GM1-Gangliosidosis; founded 2013
,Gould Syndrome Foundation (COL4a1/COL4A2),https://gouldsyndromefoundation.org/,HGNC:2203,COL4A2,36383;99810,United States of America,foundation,,https://www.gouldsyndromefoundation.org/medical-research/gould-syndrome-patient-registry-article,yes,,,,,,candidate,epilepsylive_orgs;everycure_rdnp,,,EveryCure RDNP list; focus: Gould syndrome; founded 2018
,"Helping Hands for GAND, Inc.",https://www.gatad2b.org/,HGNC:30778,GATAD2B,363686,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: GATAD2B-associated neurodevelopmental disorder; founded 2015
,Hope for Trisomy 13 & 18,https://www.hopefortrisomy13and18.org/,,,,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,"EveryCure RDNP list; focus: Trisomy 13, Trisomy 18, and other rare trisomies and related chromosome disorders; founded 2009"
,Hope4tylerandluke - Med 23 gene defect,http://www.hope4tylerandluke.com/,HGNC:2372,MED23,88616,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: MED23 gene-diseases; founded 2016
,HSAN1E Society,https://hsan1esociety.org/,,HSAN1E,,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp;registries_2020,,,EveryCure RDNP list; focus: Hereditary Sensory and Autonomic Neuropathy Type 1E; founded 2015
,INADcure Foundation,https://www.inadcure.org/,HGNC:9039,PLA2G6,199351;35069,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: PLA2G6-related neurodegeneration; biobank; founded 2016
,International FOXG1 Foundation,https://foxg1.org/,HGNC:3811,FOXG1,261144;442835;598164,United States of America,foundation,,,yes,,,,,,candidate,epilepsylive_orgs;everycure_rdnp,,,EveryCure RDNP list; focus: FOXG1 syndrome; founded 2012
,International Rett Syndrome Foundation (dba. Rettsyndrome.org),https://www.rettsyndrome.org,,,,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp;registries_2020,,,EveryCure RDNP list; focus: Rett Syndrome; biobank; founded 1983
,IRF2BPL Foundation - IRF2BPL Disorder,https://irf2bpl.zohosites.com/,HGNC:14282,IRF2BPL,597623,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: IRF2BPL-related disorders; founded 2019
,Jain Foundation - Limb Girdle Muscular Dystrophy type 2B/R2/Mioyshi Myopathy/Dysferlinopathy,https://www.jain-foundation.org/,HGNC:3097,DYSF,178400;199329;268;45448,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,"EveryCure RDNP list; focus: The set of dystrophies called dysferlinopathy, also referred to as LGMD2B, LGMDR2, or Miyoshi Myopathy 1 (MM1).; biobank; founded 2005"
,Jain Foundation - Limb Girdle Muscular Dystrophy type 2B/R2/Mioyshi Myopathy/Dysferlinopathy,https://www.jain-foundation.org/,,LGMDR2,,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,"EveryCure RDNP list; focus: The set of dystrophies called dysferlinopathy, also referred to as LGMD2B, LGMDR2, or Miyoshi Myopathy 1 (MM1).; biobank; founded 2005"
,Jain Foundation - Limb Girdle Muscular Dystrophy type 2B/R2/Mioyshi Myopathy/Dysferlinopathy,https://www.jain-foundation.org/,HGNC:9104,PLXNB2,,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,"EveryCure RDNP list; focus: The set of dystrophies called dysferlinopathy, also referred to as LGMD2B, LGMDR2, or Miyoshi Myopathy 1 (MM1).; biobank; founded 2005"
,"Jordan's Guardian Angels - Jordan's Syndrome; Genetic misspelling of the genes PPP2R5D, PPP2R1A, PPP2R5C",https://jordansguardianangels.org/,HGNC:9302,PPP2R1A,457284,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: Jordan's Syndrome; founded 2013
,"Jordan's Guardian Angels - Jordan's Syndrome; Genetic misspelling of the genes PPP2R5D, PPP2R1A, PPP2R5C",https://jordansguardianangels.org/,HGNC:9311,PPP2R5C,726667,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: Jordan's Syndrome; founded 2013
,"Jordan's Guardian Angels - Jordan's Syndrome; Genetic misspelling of the genes PPP2R5D, PPP2R1A, PPP2R5C",https://jordansguardianangels.org/,HGNC:9312,PPP2R5D,457279,United States of America,foundation,REDCap,,unknown,,,,,,candidate,epilepsylive_orgs;everycure_rdnp,,,EveryCure RDNP list; focus: Jordan's Syndrome; founded 2013
,Judson’s Legacy – Krabbe’s Disease,https://judsonslegacy.org/,,,,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: Krabbe and other leukodystrophy diseases; founded 2011
,KAT6A Foundation,https://kat6a.org/,HGNC:13013,KAT6A,370026;457193,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: KAT6a Syndrome; founded 2017
,KCNQ2 Cure Alliance,https://www.kcnq2cure.org/,HGNC:6296,KCNQ2,140927;178469;1949;293181;306;439218,United States of America,foundation,REDCap,https://www.kcnq2cure.org/contact-registry-form/,yes,,,,,info@kcnq2cure.org,candidate,epilepsylive_orgs;everycure_rdnp,,,EveryCure RDNP list; focus: KCNQ2-related Epilepsy; founded 2014
,KIF1A.ORG,https://www.kif1a.org/,HGNC:888,KIF1A,101010;662367;970,United States of America,foundation,Citizen,https://www.kif1a.org/research/,yes,,,,,,candidate,epilepsylive_orgs;everycure_rdnp,,,EveryCure RDNP list; focus: KIF1A-Associated Neurological Disorder; biobank; founded 2016
,KIF4A Foundation - KIF4A Associated Neurodevelopmental Syndrome (KANS),https://kif4a.org/,HGNC:13339,KIF4A,,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: KIF4A gene mutation disorders; founded 2020
,Lightning and Love Foundation - Advocacy and research into THAP12 mutation related disease,http://www.lightningandlove.org,HGNC:9440,THAP12,,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp,,,"EveryCure RDNP list; focus: Retinitis Pigmentosa 58, Schimmelpenning-Feuerstein-Mims Syndrome; founded 2020"
,Liv4TheCure,https://www.liv4thecure.org/,,,,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp;registries_2020,,,EveryCure RDNP list; focus: Wolf Hirschhorn Syndrome and other rare chromosomal deletion syndromes; founded 2016
,MECP2 Duplication Foundation,https://mecp2d.org/,HGNC:6990,MECP2,1762;209370;3077;3095;536;777;778,United States of America,foundation,,,yes,,,,,,candidate,epilepsylive_orgs;everycure_rdnp,,,EveryCure RDNP list; focus: MECP2 duplication syndrome; founded 2019
,MEPAN.org – MEPAN Syndrome,https://www.mepan.org/,,,,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: Mitochondrial Enoyl CoA Reductase Protein-Associated Neurodegeneration (MEPAN) Syndrome; founded 2019
,Mission Massimo Foundation – Leukodystrophy,https://missionmassimo.com/,,,,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: Leukodystrophies; founded 2013
,MitoAction,https://www.mitoaction.org/,,,,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp;fda_pfdd;registries_2020,,,EveryCure RDNP list; focus: There are many different types of Mitochondrial disease; founded 2005
,MLD Foundation,MLD Foundation,,,,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp;registries_2020,,,EveryCure RDNP list; focus: Metachromatic leukodystrophy; founded 2001
,"Mucolipidosis Type IV Foundation, Inc. (ML4Fdn)",http://ml4.org/,HGNC:13356,MCOLN1,578,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: ML4 (Mucolipidosis Type IV); biobank; founded 1982
,Nathan's Battle Foundation,https://nathansbattle.com/,,,,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: Late Infantile Batten disease; founded 2012
,"National Tay-Sachs and Allied Diseases Association, Inc.",https://www.ntsad.org/,,GM1,,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp;registries_2020,,,"EveryCure RDNP list; focus: Tay-Sachs, Canavan, GM1, Sandhoff, and Farber diseases; biobank; founded 1957"
,New Hope Research Foundation,http://newhoperesearch.org/,,GM1,,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: GM1 gangliosidosis; founded 2006
,NGLY1.org,https://www.ngly1.org/,HGNC:17646,NGLY1,404454,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: Rare Disease NOS; founded 2021
,Noah’s Hope-Hope 4 Bridget Foundation – Batten Disease,https://hope4bridget.com/,,,,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: Batten disease; founded 2014
,NR2F1 Foundation - Bosch Boonstra Schaaf optic atrophy syndrome,https://nr2f1.org/,HGNC:7975,NR2F1,401777,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: Bosch-Boonstra-Schaaf optic atrophy syndrome (BBSOAS); founded 2018
,NUBPL Foundation,http://www.nubpl.org/,,,,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: mitochondrial complex 1 deficiency disorder.; founded 2016
,PCDH19 Alliance,https://www.pcdh19info.org/,HGNC:14270,PCDH19,33069;714652,United States of America,foundation,Foundation-hosted,https://pcdh19info.org/resources/lacy-smith-ms-cgc-nilika-singhal-md-pcdh19-registry-looking-back-on-ten-years/,yes,,,,,julie@pcdh19info.org,candidate,epilepsylive_orgs;everycure_rdnp,,,EveryCure RDNP list; focus: PCDH19 Epilepsy; founded 2011
,PURA Syndrome Foundation,https://www.purasyndrome.org/,HGNC:9701,PURA,314655;438216,United States of America,foundation,Foundation-hosted,https://purasyndrome.org/research/patient-registry/,yes,,,,,,candidate,epilepsylive_orgs;everycure_rdnp,,,EveryCure RDNP list; focus: PURA syndrome; biobank; founded 2016
,Rett Syndrome Research Trust,https://reverserett.org/,,,,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp;registries_2020,,,EveryCure RDNP list; focus: Rett Syndrome; founded 2008
,RUNX1 Research Program - RUNX1-Familial Platelet Disorder,https://www.runx1-fpd.org/,HGNC:10471,RUNX1,102724;521;71290;98850,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp,,,"EveryCure RDNP list; focus: RUNX1-familial platelet disorder (RUNX1-FPD), Acute Myeloid Leukemia (AML); biobank; founded 2016"
,SATB2 Gene Foundation,https://satb2gene.org/,HGNC:21637,SATB2,251019;251028;576283,United States of America,foundation,Foundation-hosted,,yes,,,,,,candidate,epilepsylive_orgs;everycure_rdnp,,,EveryCure RDNP list; focus: Rare neurodevelopmental disorders; biobank; founded 2017
,SETBP1 Society,https://www.setbp1.org/,HGNC:15573,SETBP1,436151;798,United States of America,foundation,Citizen,,yes,,,,,,candidate,epilepsylive_orgs;everycure_rdnp,,,EveryCure RDNP list; focus: SETBP1 haploinsufficiency disorder; founded 2017
,Sisters' Hope Foundation - Adult Onset Leukoencephalopathy with Axonal Spheroids and Pigmented Glia,https://sistershopefoundation.com/,,,,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: Adult-onset leukoencephalopathy with axonal spheroids and pigmented glia; biobank; founded 2020
,SMC1A Foundation - SMC1A Loss-of-function Epilepsy,https://smc1a-epilepsy.org/,HGNC:11111,SMC1A,199;220386;3095;708203,United States of America,foundation,Foundation-hosted,https://smc1a-epilepsy.org/smc1a-patient-registry/,yes,,,,,info@smc1a-epilepsy.org,candidate,epilepsylive_orgs;everycure_rdnp,,,EveryCure RDNP list; focus: SMC1A mutation disorders; founded 2019
,SPG15 Research Foundation - SPG15,https://www.spg15researchfoundation.org/,HGNC:20761,ZFYVE26,100996,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: Hereditary Spastic Paraplegia Type 15; founded 2018
,Stop ALD Foundation,http://www.stopald.org/,,,,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: Adrenoleukodystrophy; founded 2002
,STXBP1 Foundation,https://www.stxbp1disorders.org/,HGNC:11444,STXBP1,495818;599373,United States of America,foundation,REDCap,https://www.stxbp1disorders.org/contact-list,yes,,,,,info@stxbp1disorders.org,candidate,epilepsylive_orgs;everycure_rdnp;fda_pfdd,,,EveryCure RDNP list; focus: STXBP1 disorders; biobank; founded 2017
,Super Kids: Mission Zero Inc.,https://www.superkidsmissionzero.org/,,,,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: Rare epilepsy; founded 2017
,"Support Organization for Trisomy 18, 13 & Related Diseases",https://trisomy.org/new-here/,,,,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,"EveryCure RDNP list; focus: Trisomy ('three bodies') means the affected person has 47 chromosomes instead of 46. Down syndrome, Edward syndrome and Patau syndrome are the most common forms; founded 1980"
,SynGap Research Fund - SynGap,https://www.syngapresearchfund.org/,HGNC:11497,SYNGAP1,1942;442835;544254,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: SYNGAP1-reated syndrome; founded 2018
,TANGO2 Research Foundation,https://tango2research.org/,HGNC:25439,TANGO2,480864,United States of America,foundation,REDCap,,yes,,,,,,candidate,epilepsylive_orgs;everycure_rdnp,,,EveryCure RDNP list; focus: TANGO2-related metabolic encephalopathy and arrhythmias; founded 2017
,Taylor’s Tale,https://taylorstale.org,,,,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: Batten disease; founded 2013
,Tess Research Foundation,https://www.tessresearch.org/,HGNC:23089,SLC13A5,1946;442835,United States of America,foundation,Pulse Infoframe,https://www.tessresearch.org/join-registry/,yes,,,,,info@tessresearch.org,candidate,epilepsylive_orgs;everycure_rdnp,,,EveryCure RDNP list; focus: SLC13A5 Deficiency (aka Citrate Transporter Disorder); biobank; founded 2015
,"The 22q Family Foundation – 22q11.2 deletion, DiGeorge Syndrome, VCFS",https://22qfamilyfoundation.org,,,,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: DiGeorge syndrome; founded 2012
,The Calliope Joy Foundation,https://www.thecalliopejoyfoundation.org/,,,,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp;registries_2020,,,EveryCure RDNP list; focus: Leukodystrophies; founded 2016
,The Yaya Foundation for 4H Leukodystrophy,https://yayafoundation4hl.org/,,POLR3,,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: POLR3-Related Leukodystrophy; founded 2017
,TUBB3 Foundation,https://tubb3foundation.org/,HGNC:20772,TUBB3,300570;45358;467166,United States of America,foundation,,,unknown,,,,,,candidate,epilepsylive_orgs;everycure_rdnp,,,EveryCure RDNP list; focus: TUBB3 and multiple variations of the disease; founded 2017
