gene,hgnc_id,el_tier,disorder,foundation,foundation_url,registry,registry_url,platforms,simons_enrolled,cords,therapeutics,fda_report,fda_report_url,contact_email,linkedin,facebook,instagram,youtube,net_pags
UBE3A,HGNC:12496,1,Angelman Syndrome,"Angelman Syndrome Foundation (ASF, US); Foundation for Angelman Syndrome Therapeutics (FAST, US/AU); Angelman Syndrome UK; Angelman Syndrome Alliance (Europe)",https://www.angelman.org/,LADDER database (Lifespan Angelman Database; ASF/FAST partnership); ASF Clinics network,https://angelman.org/contactregistry/,"Academic / REDCap (LADDER, Lifespan Angelman Database); ClinicalTrials.gov NH studies (multiple industry-sponsored); Foundation-hosted (ASF Clinics network); NIH RDCRN; Sanford CoRDS",No,Yes ('Angelman syndrome'),"MavriX MVX-220 (AAV9 gene replacement, Phase 1/2 first patient dosed 2025); Ultragenyx GTX-102 (ASO, Phase 3); Ionis ION582; Roche/Tango RO7248824; UNC/Deerfield small molecules; multiple academic ASOs and gene activation programs",EL-PFDD Meeting (2025),https://www.fda.gov/industry/prescription-drug-user-fee-amendments/condition-specific-meeting-reports-and-other-information-related-patients-experience,info@angelman.org,https://www.linkedin.com/company/angelman-syndrome-foundation/,https://www.facebook.com/AngelmanSyndromeFoundation/,https://www.instagram.com/angelman_asf/,https://www.youtube.com/user/AngelmanSyndromeFdn,Angelman Syndrome Foundation
YWHAG,HGNC:12852,1,YWHAG-related developmental and epileptic encephalopathy (DEE56),YWHAG Foundation,https://www.ywhagfoundation.org/,YWHAG Foundation patient registry (in development); Citizen Health,https://www.ywhagfoundation.org/patient-registry,Foundation-hosted (YWHAG Foundation registry); Citizen Health; Sanford CoRDS (umbrella),No,Umbrella,Preclinical only,,,,,https://www.facebook.com/p/YWHAG-Foundation-100093005356595/,@ywhagfoundation,,YWHAG Foundation
ALDH7A1,HGNC:877,1,Pyridoxine-Dependent Epilepsy (PDE-ALDH7A1),International PDE Consortium (clinician-led); PDE Foundation (small),https://pdeonline.org/,International PDE Registry (pdeonline.org),https://pdeonline.org/,"Foundation-hosted (PDE Online registry, pdeonline.org); Academic / REDCap (CHARLIE consortium, charlie.science); Sanford CoRDS (umbrella)",No,Umbrella (metabolic umbrella),"Lifelong B6 + lysine-restricted diet (clinical); AASS inhibition (preclinical, CHARLIE)",,,,,PDE Foundation FB group,,,International PDE Consortium; PDE Foundation
AP4B1,HGNC:572,1,AP-4-Associated Hereditary Spastic Paraplegia (SPG47),CureAP4 Foundation; Cure SPG50 Foundation; Tom Wahlig Stiftung (Germany),https://www.cureap4.org/; https://www.curespg50.org/,Boston Children's Hospital AP-4-HSP Registry & NH Study (NCT04712812),https://clinicaltrials.gov/study/NCT04712812,"ClinicalTrials.gov NH study (NCT04712812, BCH); Foundation-hosted (CureAP4); Foundation-hosted (Tom Wahlig Stiftung, DE); Sanford CoRDS (umbrella)",No,Umbrella (HSP umbrella),"BlackfinBio BFB-101 (AAV9/AP4B1, Phase 1/2 cleared, NCT06948019); Astellas/Mitobridge research collaboration with BCH",,,,,CureAP4 FB; CureSPG50 FB,@cureap4; @curespg50,,CureAP4 Foundation; Cure SPG50 Foundation; Tom Wahlig Stiftung
ATP1A3,HGNC:801,1,"ATP1A3-related disorders (AHC, RDP, CAPOS, D-DEMO)",Cure AHC (US); AHC Foundation (US); AHCUK; AFSHA (FR); AHC Federation of Europe; AHC Australia,https://ahckids.org,AHC Patient Registry (Duke / AHC Foundation); international ATP1A3 Symposium cohorts,https://ahckids.org/wp-content/uploads/2015/08/Flyer-ClinicalRegistry.pdf,Academic / REDCap (Duke AHC NH study); Sanford CoRDS; Foundation-hosted (multiple country foundations),No,Yes ('ATP1A3 related disorders'),Flunarizine (off-label); academic ASO programs; preclinical gene therapy,,,AHCFoundation@ahckids.org,,https://www.facebook.com/AHCKids/,https://www.instagram.com/ahckids/,,Cure AHC; AHC Foundation; AHCUK; AFSHA; AHC Federation of Europe; AHC Australia
DNM1,HGNC:2972,1,DNM1-related developmental and epileptic encephalopathy (DEE31A/B),DNM1 Epilepsy Project,https://dnm1epilepsy.org,Citizen Health partnership,https://patient.citizenhealth.com/,Citizen Health; Sanford CoRDS,No,Yes ('DNM1 Gene Mutation' / 'DNM1'),Preclinical only,,,sali@dnm1epilepsy.com,https://www.linkedin.com/company/dnm1-epilepsy/,None public organization page found,,,DNM1 Epilepsy Project
DYRK1A,HGNC:3091,1,DYRK1A Syndrome (MRD7) / DYRK1A Haploinsufficiency,DYRK1A Syndrome International Association; country-specific groups,https://dyrk1a.org/,Working toward; Simons Searchlight provides infrastructure,https://www.simonssearchlight.org/research/what-we-study/dyrk1a/,Simons Searchlight (SFARI Base); Sanford CoRDS,Yes (DYRK1A enrolled),Yes ('DYRK1A syndrome'),Preclinical kinase inhibitor & ASO research,,,,https://www.linkedin.com/company/dyrk1a-syndrome-international-association,https://www.facebook.com/dyrk1a.syn/,https://www.instagram.com/dyrk1asyndrome/,https://www.youtube.com/c/DYRK1ASyndrome,DYRK1A Syndrome International Association
KCNMA1,HGNC:6284,1,KCNMA1-related disorders (Liang-Wang syndrome / KCNMA1-channelopathy),KCNMA1 Channelopathy International Advocacy Foundation (KCAF),https://kcnma1.org/,"KCAF registry; academic NH (Univ. of Maryland, Meredith)",,Foundation-hosted (KCAF registry); Academic / REDCap (Univ. of Maryland NH); Sanford CoRDS,No,Yes ('KCNMA1 channelopathy'),Preclinical: BK channel modulators; activator/inhibitor stratification by GoF/LoF,,,,,KCAF FB,@kcnma1foundation,,KCNMA1 Channelopathy International Advocacy Foundation
KCNQ2,HGNC:6296,1,"KCNQ2-related disorders (BFNE, DEE7)",KCNQ2 Cure Alliance (Jack Pribaz Foundation legacy),https://www.kcnq2cure.org/,"RIKEE, Rational Intervention for KCNQ2/3 Encephalopathy (international DB)",https://www.kcnq2cure.org/contact-registry-form/,"Academic / REDCap (RIKEE, Rational Intervention for KCNQ2/3 Encephalopathy, rikee.org); Combined Brain biorepository; Sanford CoRDS (umbrella)",No,Umbrella,"Xenon Pharma, azetukalner/XEN1101; ezogabine repurposing studies; preclinical gene therapy & ASOs",,,info@kcnq2cure.org,https://www.linkedin.com/company/kcnq2-cure-alliance/,https://www.facebook.com/kcnq2CURE/,https://www.instagram.com/kcnq2/,https://www.youtube.com/@KCNQ2Cure,KCNQ2 Cure Alliance
KCNT1,HGNC:18865,1,KCNT1-related epilepsies (EIMFS/MMPSI; ADNFLE/SHE; other DEEs),KCNT1 Epilepsy Foundation,https://kcnt1epilepsy.org/,KCNT1 Epilepsy Foundation Patient Registry,https://www.kcnt1epilepsy.org/registry-information-original/,"NORD IAMRARE (KCNT1 International Registry, kcnt1.iamrare.org); Combined Brain biorepository; Sanford CoRDS; Academic / REDCap (multi-site NH studies)",No,Yes ('Epilepsy of infancy with migrating focal seizures'; 'E410K Syndrome' = KCNT1 hotspot),"Quinidine (off-label, mixed evidence); Praxis Precision Medicines (PRAX-562, PRAX-628, PRAX-220 KCNT1-focused); preclinical ASOs and gene therapy; CBD open-label data",Patient Listening Session (2024),https://www.fda.gov/patients/fda-patient-listening-sessions/patient-listening-session-summaries,info@kcnt1epilepsy.org,https://www.linkedin.com/company/kcnt1epilepsyfoundation,https://www.facebook.com/kcnt1epilepsy,https://www.instagram.com/kcnt1foundation/,https://www.youtube.com/@KCNT1EpilepsyFoundation,KCNT1 Epilepsy Foundation
KIF1A,HGNC:888,1,KIF1A-Associated Neurological Disorder (KAND),KIF1A.ORG,https://www.kif1a.org/,KIF1A.ORG NH study (Columbia / Wendy Chung); Citizen Health,https://www.kif1a.org/research/,Academic / REDCap (Columbia/Wendy Chung NH); Citizen Health; Foundation-hosted (KIF1A.ORG); Sanford CoRDS,No,Yes ('KIF1A-associated neurological disorder'),"n-Lorem Foundation ASO (first patient dosed late 2022, Susannah Rosen); preclinical AAV; multiple academic programs",,,,,KIF1A.ORG FB,@kif1a.org,,KIF1A.ORG
KMT2D,HGNC:7133,1,Kabuki Syndrome (Type 1),All Things Kabuki; Kabuki Syndrome Foundation; Kabuki UK,https://allthingskabuki.org/; https://kabukisyndrome.com/,All Things Kabuki registry; Citizen Health partnership,,Foundation-hosted (All Things Kabuki registry); Citizen Health; Simons Searchlight (SFARI Base); Sanford CoRDS,Yes (KMT2D enrolled),Yes ('Kabuki syndrome'),HDAC inhibitor preclinical (Bjornsson); academic translational pipeline,,,,,All Things Kabuki FB; multiple country pages,@allthingskabuki,,All Things Kabuki; Kabuki Syndrome Foundation; Kabuki UK
PAFAH1B1,HGNC:8574,1,Lissencephaly 1 (LIS1; classical lissencephaly); Miller-Dieker syndrome,Lissencephaly Network (LISSEN); Miller-Dieker Foundation; international families,https://www.lissencephaly.org/,Lissencephaly Network registry; academic cohorts,,Foundation-hosted (Lissencephaly Network registry); Sanford CoRDS,No,Yes ('Lissencephaly'),Preclinical only; ASO programs,,,,,Lissencephaly Network FB; family groups,@lissencephalynetwork,,Lissencephaly Network; Miller-Dieker Foundation
PNKP,HGNC:9154,1,PNKP-related disorders (MCSZ; AOA4),PNKP Disease Foundation; AOA4-PNKP family network,https://www.pnkpfoundation.org/ (verify),Foundation registry; academic NH,,Foundation-hosted (PNKP Disease Foundation); Academic only; Sanford CoRDS (umbrella),No,Umbrella,Preclinical: NAD precursor supplementation; AAV programs,,,,,PNKP family group,,,PNKP Disease Foundation; AOA4-PNKP family network
PPT1,HGNC:9325,1,Neuronal Ceroid Lipofuscinosis 1 (Infantile NCL / CLN1),BDSRA; Beyond Batten; Taylor's Tale (CLN1-specific advocacy),https://bdsra.org,DEM-CHILD; BDSRA registry,https://bdsra.org/clinical-news/bdsra-funds-crucial-project-to-expand-a-batten-disease-patient-registry/,Academic / REDCap (DEM-CHILD); Foundation-hosted (BDSRA registry); Foundation-hosted (Taylor's Tale); Sanford CoRDS,No,Yes ('Infantile neuronal ceroid lipofuscinosis'),Cysteamine bitartrate (off-label evidence); thymidine repurposing; preclinical AAV gene therapy,,,,,BDSRA FB; Taylor's Tale FB,@bdsra,,BDSRA; Beyond Batten; Taylor's Tale
PRRT2,HGNC:30500,1,"PRRT2-related disorders (BFIE, PKD, ICCA, hemiplegic migraine)",No dedicated foundation; covered by Dystonia Medical Research Foundation; movement disorder umbrellas,,Multiple academic cohorts,,Academic / REDCap (Heidelberg international cohort); Sanford CoRDS (umbrella),No,Umbrella (PKD/movement disorder umbrella),Carbamazepine highly responsive (especially for PKD phenotype); supportive care,,,,,Family groups; PKD support groups,,,
PTEN,HGNC:9588,1,"PTEN Hamartoma Tumor Syndrome (Cowden, Bannayan-Riley-Ruvalcaba); Macrocephaly-Autism Syndrome",PTEN Hamartoma Tumor Syndrome Foundation (US); PTEN Research (UK),https://ptenfoundation.org/; https://www.ptenresearch.org/,PTEN Foundation IRB-approved registry & biorepository; Yale Pediatric Patient Registry (NCT06462430); PtenTurkiye.org,https://clinicaltrials.gov/study/NCT06462430,"Foundation-hosted (PTEN Foundation IRB registry & biorepository); ClinicalTrials.gov NH study (NCT06462430, Yale); Foundation-hosted (PTEN Research UK); Sanford CoRDS",No,Yes ('PTEN hamartoma tumor syndrome'),"Sirolimus / everolimus (mTOR inhibitor, variable evidence); preclinical AAV; multiple cancer-focused programs",,,,,PTEN Foundation FB,@ptenfoundation,,PTEN Hamartoma Tumor Syndrome Foundation; PTEN Research
SLC2A1,HGNC:11005,1,GLUT1 Deficiency Syndrome (Glut1-DS),Glut1 Deficiency Foundation,https://G1DFoundation.org,Glut1 Deficiency Foundation Patient Registry,https://www.g1dfoundation.org/natural-history-study/,Foundation-hosted (Glut1 Deficiency Foundation Patient Registry); Combined Brain biorepository; Sanford CoRDS,No,Yes ('Classic glucose transporter type 1 deficiency syndrome'),"Ketogenic diet (mainstay); modified Atkins; triheptanoin; preclinical gene therapy (UCB, Maze Therapeutics)",,,hello@G1DFoundation.org,https://www.linkedin.com/company/glut1-deficiency-foundation,https://www.facebook.com/glut1deficiencyfoundation/,https://www.instagram.com/glut1deficiencyfoundation/,https://www.youtube.com/user/Glut1Deficiency,Glut1 Deficiency Foundation
SLC9A6,HGNC:11079,1,Christianson Syndrome (X-linked NDD with epilepsy + ataxia),Christianson Syndrome Association (CSA),https://www.csaresearchfoundation.org/,CSA Research Foundation registry; academic NH,,Foundation-hosted (CSA Research Foundation registry); Academic / REDCap (BCH NH); Sanford CoRDS,No,Yes ('Christianson syndrome'),Preclinical: AAV gene therapy programs; pH regulation approaches,,,,,CSA FB,@christiansonsyndrome,,Christianson Syndrome Association
TCF4,HGNC:11634,1,Pitt-Hopkins Syndrome,Pitt Hopkins Research Foundation (PHRF); Pitt Hopkins UK,https://pitthopkins.org/,PHRF registry; international academic cohorts,,Foundation-hosted (PHRF registry); Academic / REDCap (UNC NH); Sanford CoRDS,No,Yes ('Pitt-Hopkins syndrome'),"Preclinical: ASO programs; gene therapy; juvenile reinstatement studies (UNC, Philpot 2025)",,,,,PHRF FB; Pitt Hopkins UK FB,@pitthopkinsresearch,,Pitt Hopkins Research Foundation; Pitt Hopkins UK
TPP1,HGNC:2073,1,Late-Infantile Neuronal Ceroid Lipofuscinosis (Classical CLN2),BDSRA; Beyond Batten; multiple country foundations,https://bdsra.org,DEM-CHILD; BDSRA; BioMarin Brineura post-marketing,https://bdsra.org/clinical-news/bdsra-funds-crucial-project-to-expand-a-batten-disease-patient-registry/,Academic / REDCap (DEM-CHILD); Foundation-hosted (BDSRA registry); ClinicalTrials.gov NH (BioMarin Brineura post-marketing); Sanford CoRDS,No,Yes ('Classic late infantile neuronal ceroid lipofuscinosis'),"BioMarin Brineura/cerliponase alfa (FDA-approved 2017, first approved enzyme replacement for any NCL); gene therapy preclinical",,,,,BDSRA FB; multiple country pages,@bdsra; @beyondbatten,,BDSRA; Beyond Batten
WDR45,HGNC:28912,1,Beta-Propeller Protein-Associated Neurodegeneration (BPAN); SENDA,Don't Forget Me Foundation (US); BPAN Warriors; NBIA Disorders Association (umbrella),https://dontforgetmefoundation.org/; https://www.nbiadisorders.org/,NBIA international registry; BPAN-specific cohorts via Don't Forget Me,https://www.bpanwarriors.org/rare-x | https://rare-x.org/bpan/ | Historical Ciitizen natural history study announcement: https://www.prweb.com/releases/BPAN_Warriors_Partners_with_Ciitizen_to_launch_a_groundbreaking_Natural_History_Study_to_accelerate_potential_treatments_for_rare_disease_BPAN/prweb17735181.htm,Foundation-hosted (NBIA Disorders Association registry); Foundation-hosted (Don't Forget Me Foundation); Sanford CoRDS,No,Yes ('Beta-propeller protein-associated neurodegeneration' / NBIA),Preclinical: AAV gene therapy; iron chelation studies,,,info@bpanwarriors.org,https://www.linkedin.com/company/bpanwarriors,https://www.facebook.com/bpanwarriors/,https://www.instagram.com/bpanwarriors/,https://www.youtube.com/watch?v=vc0YEn4u3iQ,Don't Forget Me Foundation; BPAN Warriors; NBIA Disorders Association
ZEB2,HGNC:14881,1,Mowat-Wilson Syndrome,Mowat-Wilson Syndrome Foundation (US); Mowat-Wilson Syndrome Australia; multiple country networks,https://mowat-wilson.org/,"Mowat-Wilson Syndrome Foundation Matrix Portal & Registry (Across Healthcare platform, early adopter, launched Feb 2021)",https://mowat-wilson.org/matrix/,"Matrix (Across Healthcare, MWSF was first adopter alongside PMSF); Sanford CoRDS",No,Yes ('Mowat-Wilson syndrome'),Preclinical only; mechanism-focused research,,,,,MWSF FB; multiple country pages,@mowatwilsonsyndromefdn,,Mowat-Wilson Syndrome Foundation; Mowat-Wilson Syndrome Australia
ARHGEF9,HGNC:14561,2,ARHGEF9-related epileptic encephalopathy (X-linked; hyperekplexia + epilepsy),No dedicated foundation; small family network,,Academic cohorts only,,Academic only; Sanford CoRDS (umbrella),No,Umbrella,Preclinical only,,,,,,,,Simons Searchlight
ATP6V1A,HGNC:851,2,"ATP6V1A-related disorders (DEE93, cutis laxa)",Small family network; emerging community,https://vatpasealliance.org/,Academic cohorts (Florence Italy),https://vatpasealliance.org/patient-registry-1,Academic only (Florence cohort); Sanford CoRDS (umbrella),No,Umbrella,Preclinical only,,,,,Family groups,,,v-ATPase Alliance
CASK,HGNC:1497,2,CASK-related disorders (MICPCH; FG syndrome 4; X-linked ID),Project CASK; CASK Foundation; The Brave Foundation (multiple small parent-led),https://www.projectcask.org/,Project CASK registry partnership; international CASK NH cohort,https://www.caskgene.org/registry | https://www.caskgene.org/population,Foundation-hosted (Project CASK registry); Simons Searchlight (SFARI Base); Academic / REDCap (Penn State Hershey NH); Sanford CoRDS (umbrella),Yes (CASK enrolled),Umbrella (DEE/ID),Preclinical AAV; gene therapy programs in early stages,,,hello@caskgene.org,https://www.linkedin.com/company/caskgene,https://www.facebook.com/CASKgene/,https://www.instagram.com/caskgene/,https://www.youtube.com/@caskgene,Project CASK
CSNK2B,HGNC:2460,2,Poirier-Bienvenu Neurodevelopmental Syndrome (POBINDS),CSNK2B Foundation (small),https://csnk2bfoundation.org,CSNK2B registry (Citizen Health; Simons Searchlight),https://www.citizen.health/ai-advocate/csnk2b-foundation,Academic only (small cohorts); Sanford CoRDS (umbrella),No,Umbrella,Preclinical only,,,,https://www.linkedin.com/company/csnk2b-foundation/,https://www.facebook.com/csnk2bfoundation/,https://www.instagram.com/csnk2b_foundation/,,CSNK2B Neurodevelopmental Syndrome Foundation
DEAF1,HGNC:14677,2,DEAF1-related neurodevelopmental disorder (Vulto-van Silfhout-de Vries syndrome),DEAF1 family network; small advocacy,https://www.rorybelle.org,Simons Searchlight; family registry,,Simons Searchlight (SFARI Base); Sanford CoRDS (umbrella),Yes (DEAF1 enrolled),Umbrella,Preclinical only,,,hello@therorybellefoundation.org,,https://www.facebook.com/therorybellefoundation/,https://www.instagram.com/therorybellefoundation/,https://m.youtube.com/@TheRoryBelleFoundation,Families of DAND (DEAF1 and Related Neurodevelopmental Disorders); DAND Alliance
DLG4,HGNC:2903,2,DLG4-related synaptopathy (PSD-95 NDD),"DLG4 Foundation (small, emerging); covered by autism research community",,Simons Searchlight; family registry,,Simons Searchlight (SFARI Base); Sanford CoRDS (umbrella),Yes (DLG4 enrolled),Umbrella,Preclinical only,Patient Listening Session (2024),https://www.fda.gov/patients/learn-about-fda-patient-engagement/patient-listening-session-summaries,,,Family groups,,,DLG4 SHINE Foundation
FRRS1L,HGNC:1362,2,FRRS1L-related epileptic encephalopathy (DEE37),Finding Hope for FRRS1L,https://www.frrs1l.org,Academic only,https://www.frrs1l.org/register,Academic only; Sanford CoRDS (umbrella),No,Umbrella,Preclinical,,,contact@FRRS1L.org,,Facebook,,,Finding Hope for FRRS1L
GABRA1,HGNC:4075,2,"GABRA1-related epilepsies (Dravet-like, JME, DEE19)",Cure GABA-A Variants (umbrella covering GABRA1/B2/B3/G2),https://curegabaa.org/,Cure GABA-A Variants / Combined Brain biorepository,No dedicated public patient registry identified in this pass,Combined Brain biorepository (via Cure GABA-A Variants); Sanford CoRDS,No,Yes ('GABRA 1 gene mutation'),Preclinical; receptor pharmacology focus,,,,https://www.linkedin.com/company/cure-gaba-a-variants,https://www.facebook.com/cure.gaba.a.variants/,https://www.instagram.com/curegabaa/,https://www.youtube.com/channel/UCT8Du_C_8MKQvKLIyJO6DMQ,GABRA1 Village
GABRB3,HGNC:4083,2,"GABRB3-related disorders (DEE43, CAE, Lennox-Gastaut)",Cure GABA-A Variants,https://curegabaa.org/,Via Cure GABA-A Variants,No dedicated public patient registry identified in this pass,Combined Brain biorepository (via Cure GABA-A Variants); Sanford CoRDS (umbrella),No,Umbrella (DEE),Preclinical,,,,https://www.linkedin.com/company/cure-gaba-a-variants,https://www.facebook.com/cure.gaba.a.variants/,https://www.instagram.com/curegabaa/,https://www.youtube.com/channel/UCT8Du_C_8MKQvKLIyJO6DMQ,GABRB3 Life Changes
GNB1,HGNC:4396,2,GNB1 Encephalopathy (NEDIM),GNB1 Advocacy Group / GNB1 family network,https://www.gnb1advocacy.org/,GNB1 family registry; Simons Searchlight,https://www.gnb1advocacy.org/research/registry,Academic / REDCap (Columbia); Simons Searchlight (SFARI Base); Sanford CoRDS (umbrella),Yes (GNB1 enrolled),Umbrella,Preclinical only,,,,https://www.linkedin.com/company/gnb1advocacy,GNB1 family group,https://www.instagram.com/gnb1_advocacy/,,GNB1 Advocacy Group; GNB1 Foundation; GNB1 Gene Disorder
GRIN2D,HGNC:4588,2,GRIN2D-related developmental and epileptic encephalopathy (DEE46),CureGRIN Foundation (same umbrella),https://curegrin.org/,CureGRIN registry,https://curegrin.org/gri-registry/ | https://grin2b.com/grin-registry/ | https://curegrin.org/gricensus/,Foundation-hosted (CureGRIN registry); Combined Brain biorepository; Sanford CoRDS (umbrella),No,Umbrella,Memantine; preclinical: cholesterol 24-hydroxylase inhibitors (Czech Academy),,,,https://www.linkedin.com/company/curegrin,https://www.facebook.com/cureGRIN/,https://www.instagram.com/curegrin_foundation/,https://www.youtube.com/c/CureGRINFoundation,CureGRIN
HNRNPU,HGNC:5048,2,HNRNPU-related neurodevelopmental disorder (DEE54),"HNRNPU Foundation (Yellow Brick Road Project covers HNRNPH2, separate gene)",https://www.hnrnp.org/,Simons Searchlight; family registry,https://hnrnp.org/natural-history-study,Foundation-hosted (HNRNPU family registry); Simons Searchlight (SFARI Base); Sanford CoRDS (umbrella),Yes (HNRNPU enrolled),Umbrella,Preclinical only,,,info@hnrnp.org,https://www.linkedin.com/company/hnrnp-family-foundation,https://www.facebook.com/HNRNPFamilyfoundation/,https://www.instagram.com/hnrnpfamily_foundation/,,HNRNP-Related Parent Connect; HNRNPU Foundation; HNRNPU Parent Connect
KCNA2,HGNC:6220,2,KCNA2-related epilepsies (DEE32),KCNA2 Epilepsy Global Alliance,https://www.kcna2epilepsy.org,Tübingen academic cohort,https://www.kcna2epilepsy.org/kcna2-international-registry-natural-history-study/,"Academic only (Tübingen, Leipzig cohorts); Sanford CoRDS (umbrella)",No,Umbrella,4-aminopyridine repurposing (case reports); preclinical small molecule programs,,,kcna2epilepsy@gmail.com,,Family groups,,,KCNA2 Parent Connection
KCNH1,HGNC:6250,2,KCNH1-related disorders (Temple-Baraitser; Zimmermann-Laband),Zimmermann-Laband Syndrome Foundation; Temple-Baraitser Syndrome family network,https://www.curekcnh1.org/,Academic cohorts,https://www.curekcnh1.org/research | https://www.curekcnh1.org/updates,Academic only; Sanford CoRDS (umbrella),No,Umbrella,Preclinical; Eag1 channel modulators,,,info@curekcnh1.org,,https://www.facebook.com/treatments4tristan/,https://www.instagram.com/treatments4tristan/,https://www.youtube.com/channel/UCwmRk5zMWyW9yBYSvxFWwdA,Cure KCNH1
NRXN1,HGNC:8008,2,"NRXN1-related disorders (autism, schizophrenia, Pitt-Hopkins-like)",No dedicated foundation; covered by autism research consortia,,Simons Searchlight; SPARK autism research,,Simons Searchlight (SFARI Base); Academic / REDCap (SPARK autism research); Sanford CoRDS (umbrella),Yes (NRXN1 enrolled),Umbrella,Preclinical only,,,,,Family groups,,,NRXN1 Network
SMARCA2,HGNC:11098,2,Nicolaides-Baraitser Syndrome (NCBRS); Blepharophimosis-ID Syndrome,Nicolaides-Baraitser Syndrome Worldwide Foundation,https://nbsworldwide.org/,NBS Worldwide registry; Simons Searchlight,,Foundation-hosted (NBS Worldwide registry); Sanford CoRDS,No,Yes ('Nicolaides-Baraitser syndrome'),Preclinical only,,,,,NBS Worldwide FB,,,Coffin Siris Syndrome Facebook support group; NCBRS Worldwide Foundation
SMC1A,HGNC:11111,2,Cornelia de Lange Syndrome 2 (X-linked CdLS),"CdLS Foundation (umbrella for all CdLS genes including NIPBL, SMC1A, SMC3, RAD21, HDAC8)",https://smc1a-epilepsy.org/,CdLS Foundation registry; international consensus statements,https://smc1a-epilepsy.org/smc1a-patient-registry/,Foundation-hosted (CdLS Foundation registry); Sanford CoRDS,No,Yes ('Cornelia de Lange syndrome'),Preclinical only; cohesinopathy mechanism studies,,,info@smc1a-epilepsy.org,https://www.linkedin.com/company/smc1a-foundation,https://www.facebook.com/SMC1AFoundation/,https://www.instagram.com/cure_smc1a/,https://www.youtube.com/channel/UCfXMywaiL_o07KztJdYmrbw,SMC1A Foundation
TBC1D24,HGNC:29203,2,TBC1D24-related disorders (DOORS; FIME; deafness; EIEE16),TBC1D24 Foundation,https://www.tbc1d24foundation.com/,TBC1D24 Foundation registry (small),,"Foundation-hosted (TBC1D24 Foundation, small); Sanford CoRDS (umbrella)",No,Umbrella (DEE/DOORS),Preclinical only; small molecule screens,,,bridget@tbc1d24foundation.com; joeylynn@tbc1d24foundation.com,,https://www.facebook.com/tbc1d24Foundation/,https://www.instagram.com/tbc1d24/,,Tbc1d24 Foundation
TRIO,HGNC:12303,2,TRIO-related neurodevelopmental disorder (NDD with epilepsy),TRIO Family Foundation (small); autism research overlap,,Simons Searchlight; family registry,,Simons Searchlight (SFARI Base); Sanford CoRDS (umbrella),Yes (TRIO enrolled),Umbrella,Preclinical only,,,,,Family groups,,,Simons Searchlight TRIO Facebook community
WAC,HGNC:17327,2,WAC-related neurodevelopmental disorder (DESSH; DeSanto-Shinawi),"WAC Family Foundation; DeSanto-Shinawi Society (small, growing)",,Simons Searchlight; family registry,,Simons Searchlight (SFARI Base); Sanford CoRDS (umbrella),Yes (WAC enrolled),Umbrella,Preclinical only,,,,,DeSanto-Shinawi family group,,,DESSH Foundation
WWOX,HGNC:12799,2,WWOX-related developmental and epileptic encephalopathy (DEE28; SCAR12),WWOX Foundation; family network (growing),https://wwoxfoundation.org/ (verify),Academic cohorts; Florey/Melbourne,,"Academic only (Florey/Melbourne, Aqeilan); Sanford CoRDS (umbrella)",No,Umbrella,Preclinical: AAV gene therapy programs,,,,,WWOX family group,,,WWOX Foundation; WWOX Foundation AUS; WWOX Foundation EU; WWOX Foundation USA
ALG13,HGNC:30881,2,ALG13-CDG / DEE36 (X-linked),CDG CARE (umbrella for all CDG types),https://cdgcare.com/,Frontiers in CDG (FCDGC) NIH RDCRN registry,Historical CDG Connect Patient Insights Network (PIN) poster: https://cdgcare.org/wp-content/uploads/2021/02/NIH-2021-RDD-CDG-CARE-Poster.pdf ; Family Resource Network intake: https://cdgcare.org/register-with-cdg-care/,"NIH RDCRN (FCDGC, Frontiers in CDG); Foundation-hosted (CDG CARE); Sanford CoRDS (umbrella)",No,Umbrella (CDG umbrella),Disease-specific therapies in early stages; broader CDG efforts via FCDGC,Patient Listening Session (2023),https://www.fda.gov/patients/fda-patient-listening-sessions/patient-listening-session-summaries,info@cdgcare.org,https://www.linkedin.com/company/cdg-care,https://www.facebook.com/cdgcare/,https://www.instagram.com/cdgcare/,https://www.youtube.com/channel/UC04CIRYlJSUkNU8GBnksCMg,CDG CARE
AP4M1,HGNC:574,2,AP-4-Associated Hereditary Spastic Paraplegia (SPG50),Cure SPG50 Foundation; CureAP4 (umbrella); Tom Wahlig Stiftung,https://www.curespg50.org/,"Same, BCH AP-4-HSP Registry NCT04712812",https://clinicaltrials.gov/study/NCT04712812,"ClinicalTrials.gov NH study (NCT04712812, BCH); Foundation-hosted (Cure SPG50); Foundation-hosted (CureAP4 umbrella); Sanford CoRDS (umbrella)",No,Umbrella,"Cure SPG50 / Univ. of Texas-Dallas Steven Gray AAV9-AP4M1 (Phase 1/2, first patient dosed 2022)",,,,,Cure SPG50 FB,@curespg50,,Cure SPG50 Foundation; CureAP4; Tom Wahlig Stiftung
ATP1A2,HGNC:800,2,ATP1A2-related disorders (Familial Hemiplegic Migraine 2; AHC; DEE98),"Some shared infrastructure with ATP1A3 communities (AHC Foundation, Cure AHC); Migraine Research Foundation overlap",,Academic cohorts; AHC Foundation registry covers some ATP1A2 cases,,"Academic / REDCap (Leiden); Foundation-hosted (AHC Foundation, partial); Sanford CoRDS (umbrella)",No,Umbrella (FHM/AHC umbrella),Acetazolamide; flunarizine; preclinical,,,,,FHM family groups,,,
