org_name,gene,url,org_type,registry_platform,registry_url,natural_history_study,coalitions,contact,fda_report,notes
TBC1D24 Foundation,TBC1D24,https://www.tbc1d24foundation.com/,foundation,Foundation-hosted,,,,bridget@tbc1d24foundation.com; joeylynn@tbc1d24foundation.com,,TBC1D24-related disorders (DOORS; FIME; deafness; EIEE16); registry: TBC1D24 Foundation registry (small)
TRIO Family Foundation,TRIO,,foundation,,,,,,,TRIO-related neurodevelopmental disorder (NDD with epilepsy); registry: Simons Searchlight; family registry
autism research overlap,TRIO,,foundation,,,,,,,
Simons Searchlight TRIO Facebook community,TRIO,,family group,,,,,,,
WAC Family Foundation,WAC,,foundation,,,,,,,WAC-related neurodevelopmental disorder (DESSH; DeSanto-Shinawi); registry: Simons Searchlight; family registry
DeSanto-Shinawi Society,WAC,,foundation,,,,,,,
DESSH Foundation,WAC,,foundation,,,,,,,
WWOX Foundation,WWOX,https://wwoxfoundation.org/ (verify),foundation,,,no,,,,WWOX-related developmental and epileptic encephalopathy (DEE28; SCAR12); registry: Academic cohorts; Florey/Melbourne
family network,WWOX,,family group,,,,,,,
WWOX Foundation AUS,WWOX,,foundation,,,,,,,
WWOX Foundation EU,WWOX,,foundation,,,,,,,
WWOX Foundation USA,WWOX,,foundation,,,,,,,
CDG CARE,ALG13,https://cdgcare.com/,foundation,NIH RDCRN,Historical CDG Connect Patient Insights Network (PIN) poster: https://cdgcare.org/wp-content/uploads/2021/02/NIH-2021-RDD-CDG-CARE-Poster.pdf ; Family Resource Network intake: https://cdgcare.org/register-with-cdg-care/,,,info@cdgcare.org,Patient Listening Session (2023),ALG13-CDG / DEE36 (X-linked); registry: Frontiers in CDG (FCDGC) NIH RDCRN registry
Cure SPG50 Foundation,AP4M1,https://www.curespg50.org/,foundation,Foundation-hosted,https://clinicaltrials.gov/study/NCT04712812,,,,,"AP-4-Associated Hereditary Spastic Paraplegia (SPG50); registry: Same, BCH AP-4-HSP Registry NCT04712812"
CureAP4,AP4M1,,foundation,,,,,,,
Tom Wahlig Stiftung,AP4M1,,foundation,,,,,,,
Some shared infrastructure with ATP1A3 communities,ATP1A2,,foundation,REDCap,,no,,,,ATP1A2-related disorders (Familial Hemiplegic Migraine 2; AHC; DEE98); registry: Academic cohorts; AHC Foundation registry covers some ATP1A2 cases
Migraine Research Foundation overlap,ATP1A2,,foundation,,,,,,,
growing community,BRAT1,,family group,Citizen,,no,,,,Rigidity and Multifocal Seizure Syndrome / BRAT1-related DEE; registry: Academic cohorts; Citizen Health partnerships
RMFSL Family Network,BRAT1,,family group,,,,,,,
family network through CACNA1A Foundation,CACNA1E,,family group,,,no,,,,CACNA1E-related neurodevelopmental disorder (DEE69); registry: Academic cohorts
Epilepsy Foundation,CHRNA4,https://www.facebook.com/groups/265440120739437,foundation,,No dedicated public patient registry identified,no,,,,Autosomal Dominant Sleep-related Hypermotor Epilepsy (ADSHE; previously ADNFLE); registry: Academic cohorts; Florey/Melbourne
CURE Epilepsy,CHRNA4,,foundation,,,,,,,
BDSRA,CLN5,,foundation,REDCap,https://bdsra.org/clinical-news/bdsra-funds-crucial-project-to-expand-a-batten-disease-patient-registry/,,,,,Variant Late-Infantile Neuronal Ceroid Lipofuscinosis (CLN5); registry: DEM-CHILD database; BDSRA registry
Beyond Batten,CLN5,,foundation,,,,,,,
BDFA,CLN5,,foundation,,,,,,,
CureCLN6,CLN6,https://bdsra.org,foundation,REDCap,https://bdsra.org/clinical-news/bdsra-funds-crucial-project-to-expand-a-batten-disease-patient-registry/,,,,,Variant Late-Infantile / Adult-Onset Neuronal Ceroid Lipofuscinosis (CLN6); registry: DEM-CHILD database; BDSRA registry
BDSRA,CLN6,,foundation,,,,,,,
Beyond Batten,CLN6,,foundation,,,,,,,
BDFA,CLN6,,foundation,,,,,,,
BDSRA,CLN8,,foundation,REDCap,https://bdsra.org/clinical-news/bdsra-funds-crucial-project-to-expand-a-batten-disease-patient-registry/,,,,,Variant Late-Infantile Neuronal Ceroid Lipofuscinosis (CLN8); Northern Epilepsy; registry: DEM-CHILD database; BDSRA registry
Beyond Batten,CLN8,,foundation,,,,,,,
BDFA,CLN8,,foundation,,,,,,,
relevant to autism research community,CNTNAP2,,family group,,,no,,,,CNTNAP2-related disorders (CDFE; cortical dysplasia-focal epilepsy syndrome); registry: Simons Searchlight (autism overlap); academic cohorts
Gould Syndrome Foundation,COL4A1,https://gouldsyndromefoundation.org,foundation,,https://www.gouldsyndromefoundation.org/medical-research/gould-syndrome-patient-registry-article,no,,,,"COL4A1-related disorders (cerebrovascular, brain malformations + epilepsy); registry: Academic cohorts"
Gould Syndrome Foundation,COL4A2,https://gouldsyndromefoundation.org,foundation,,https://www.gouldsyndromefoundation.org/medical-research/gould-syndrome-patient-registry-article,no,,,,"COL4A2-related disorders (cerebrovascular, schizencephaly, epilepsy); registry: Academic cohorts"
EEF1A2 family network,EEF1A2,,family group,REDCap,,,,,,EEF1A2-related neurodevelopmental disorder (DEE33); registry: Edinburgh academic cohort; Simons Searchlight
some Rett research overlap,GABBR2,,foundation,,,no,,,,GABBR2-related disorders (DEE59; Rett-like); registry: Academic cohorts
Cure GABA-A Variants,GABRG2,https://curegabaa.org/,foundation,,No dedicated public patient registry identified in this pass,no,,,,"GABRG2-related epilepsies (GEFS+ type 3, Dravet-like, FS, JME); registry: Via Cure GABA-A Variants"
Bluefield Project to Cure FTD,GRN,https://bdsra.org,foundation,NIH RDCRN,https://bdsra.org/clinical-news/bdsra-funds-crucial-project-to-expand-a-batten-disease-patient-registry/,yes,,,EL-PFDD Meeting (2021); Patient Listening Session (2023),Neuronal Ceroid Lipofuscinosis 11 (CLN11) / Adult-onset; FTD; registry: ALLFTD (NIH RDCRN); Bluefield-funded NH
Association for Frontotemporal Degeneration,GRN,,foundation,,,,,,,
Batten umbrella for CLN11,GRN,,foundation,,,,,,,
IQSEC2 family network,IQSEC2,https://iqsec2.org/ (verify),family group,REDCap,,,,,,IQSEC2-related neurodevelopmental disorder (X-linked ID); registry: Family registry partnerships
National Ataxia Foundation,KCNA1,https://www.ataxia.org/,foundation,Foundation-hosted,,,,,,Episodic Ataxia 1 (EA1); KCNA1-related epilepsy; registry: NAF registry; academic cohorts
CACNA1A Foundation cross-coverage,KCNA1,,foundation,,,,,,,
KCNQ2 Cure Alliance,KCNQ3,https://www.kcnq2cure.org/,foundation,REDCap,https://www.rikee.org/,,,,,KCNQ3-related disorders (BFNE2; ID; DEE); registry: RIKEE (covers KCNQ2/3 jointly)
Some shared infrastructure with KCNT1 community,KCNT2,,family group,,,no,,,,KCNT2-related disorders (DEE57); registry: Academic cohorts
BDSRA,KCTD7,https://bdsra.org,foundation,REDCap,https://bdsra.org/clinical-news/bdsra-funds-crucial-project-to-expand-a-batten-disease-patient-registry/,,,,,Progressive Myoclonic Epilepsy 3 (CLN14); registry: DEM-CHILD; BDSRA
PME family network,KCTD7,,family group,,,,,,,
Smith-Kingsmore Syndrome Foundation,MTOR,https://smithkingsmoresyndrome.com/,foundation,REDCap,,,,,,MTOR-related disorders (Smith-Kingsmore; somatic mTORopathy in FCD type II); registry: SKS Foundation registry; Brain Gene Registry partnership
SKS Awareness,MTOR,,foundation,,,,,,,
mTORopathy umbrella with TSC Alliance,MTOR,,foundation,,,,,,,
GPI-Anchor Disorder Alliance,PIGA,https://gpiad.org/,foundation,NIH RDCRN,Historical CDG Connect Patient Insights Network (PIN) poster: https://cdgcare.org/wp-content/uploads/2021/02/NIH-2021-RDD-CDG-CARE-Poster.pdf ; Family Resource Network intake: https://cdgcare.org/register-with-cdg-care/,,,info@cdgcare.org,Patient Listening Session (2023),PIGA-CDG / DEE20 (X-linked GPI deficiency); registry: FCDGC NIH RDCRN; GPI Alliance registry
CDG CARE,PIGA,https://cdgcare.com/,foundation,,,,,,,
GPI-Anchor Disorder Alliance,PIGN,https://gpiad.org/,foundation,NIH RDCRN,Historical CDG Connect Patient Insights Network (PIN) poster: https://cdgcare.org/wp-content/uploads/2021/02/NIH-2021-RDD-CDG-CARE-Poster.pdf ; Family Resource Network intake: https://cdgcare.org/register-with-cdg-care/,,,info@cdgcare.org,Patient Listening Session (2023),PIGN-CDG / MCAHS1 (Multiple Congenital Anomalies-Hypotonia-Seizures); registry: FCDGC NIH RDCRN; GPI Alliance registry
CDG CARE,PIGN,https://cdgcare.com/,foundation,,,,,,,
Cure RHOBTB2,RHOBTB2,,foundation,,,no,,,,RHOBTB2-related developmental and epileptic encephalopathy (DEE64); registry: Academic cohorts; family registry
Kohlschütter-Tönz Syndrome Foundation,ROGDI,,foundation,,,no,,,,Kohlschütter-Tönz Syndrome; registry: Academic cohorts (Univ. of Bern)
Dravet Syndrome Foundation covers some overlap,SCN1B,,foundation,,,,,,,"SCN1B-related disorders (GEFS+1, DEE52, Brugada); registry: Sodium Channel Coalition cohorts; Dravet umbrella"
Sodium Channel Coalition partner,SCN1B,,foundation,,,,,,,
SCN3A Family network,SCN3A,https://scn3afoundation.org/ (verify),family group,REDCap,,yes,,,,"SCN3A-related disorders (DEE62, polymicrogyria with seizures); registry: Sodium Channel Coalition cohorts; Penn academic NH"
Sodium Channel Coalition partner,SCN3A,,foundation,,,,,,,
Sodium Channel Coalition,SCN3A,,foundation,,,,,,,
Setd1b Family Network,SETD1B,,family group,,,no,,,,SETD1B-related neurodevelopmental disorder (IDDSELD); registry: Erasmus MC academic cohort; GeneMatcher
CDG CARE,SLC35A2,https://cdgcare.com/,foundation,NIH RDCRN,Historical CDG Connect Patient Insights Network (PIN) poster: https://cdgcare.org/wp-content/uploads/2021/02/NIH-2021-RDD-CDG-CARE-Poster.pdf ; Family Resource Network intake: https://cdgcare.org/register-with-cdg-care/,,,info@cdgcare.org,Patient Listening Session (2023),SLC35A2-CDG (X-linked CDG; epileptic encephalopathy); registry: FCDGC NIH RDCRN
SPTAN1 Foundation,SPTAN1,,foundation,Citizen,,no,,,,SPTAN1-related developmental and epileptic encephalopathy (DEE5); registry: Academic cohorts; Citizen Health partnerships
family network,SPTAN1,,family group,,,,,,,
SZT2 family network,SZT2,,family group,,,no,,,,SZT2-related developmental and epileptic encephalopathy (DEE18); registry: Academic cohorts only
UBA5 Foundation,UBA5,,foundation,,,no,,,,UBA5-related developmental and epileptic encephalopathy (DEE44); registry: Academic cohorts; family registry
UNC80 Foundation,UNC80,https://fundacionlibellas.org/,foundation,,No dedicated public patient registry identified in this pass,no,,,,UNC80-related disorder (Infantile Hypotonia with Psychomotor Retardation); registry: Academic cohorts; family registry
Advocacy for Neuroacanthocytosis Patients (UK),VPS13A,https://naadvocacy.org/,foundation,Foundation-hosted,,no,,,,Chorea-Acanthocytosis (ChAc); VPS13A-related disorders; registry: Academic registry; international NA cohort
Hereditary Disease Foundation overlap,VPS13A,,foundation,,,,,,,
Advocacy for Neuroacanthocytosis Patients,VPS13A,,foundation,,,,,,,
Simons Searchlight,ACTB,,foundation,,,,,,,
Simons Searchlight ACTL6B Facebook community,ACTL6B,,family group,,,,,,,
ADCY5.org,ADCY5,,foundation,,,,,,,
AGO Alliance,AGO1,,foundation,,,,,,,
Xia-Gibbs Society,AHDC1,,foundation,,,,,,,
ANKRD11 Foundation,ANKRD11,,foundation,,,,,,,
National Urea Cycle Disorders Foundation (NUCDF),ARG1,,foundation,,,,,,,
Support ARG1-D,ARG1,,foundation,,,,,,,
Care4ASH1L,ASH1L,,foundation,,,,,,,
Simons Searchlight Community,ASH1L,,family group,,,,,,,
ASXL Rare Research Endowment Foundation,ASXL2,https://www.arrefoundation.org,foundation,,https://arrefoundation.org/research/asxl-related-disorders-natural-history-study-and-biobank/,yes,,,,
ARRE Foundation,ASXL2,,foundation,,,,,,,
ASXL Rare Research Endowment Foundation,ASXL3,https://www.arrefoundation.org,foundation,,https://arrefoundation.org/study/simons-searchlight-asxl3-registry/,yes,,,,
ARRE Foundation,ASXL3,,foundation,,,,,,,
Bainbridge-Ropers Syndrome and ASXL3 Families,ASXL3,,foundation,,,,,,,
CureDRPLA,ATN1,,foundation,,,,,,,
v-ATPase Alliance,ATP6AP2,,foundation,,,,,,,
v-ATPase Alliance,ATP6V0A1,,foundation,,,,,,,
v-ATPase Alliance,ATP6V0C,,foundation,,,,,,,
v-ATPase Alliance,ATP6V1B2,,foundation,,,,,,,
AUTS2 Syndrome- Promoting Research Facebook Group,AUTS2,,family group,,,,,,,
Timothy Syndrome Alliance,CACNA1C,,foundation,,,,,,,
CAPRIN1 Foundation,CAPRIN1,,foundation,,,,,,,
Angioma Alliance,CCM2,,foundation,,,,,,,
CHD3 Families (Snijders Blok Campeau Syndrome),CHD3,,foundation,,,,,,,
Simons Searchlight CIC Facebook community,CIC,,family group,,,,,,,
Cure CLCN4,CLCN4,,foundation,,,,,,,
Simons Searchlight Community (2),CNOT3,,family group,,,,,,,
Simons Searchlight Community (3),CREBBP,,family group,,,,,,,
CRELD1 Warriors,CRELD1,,foundation,,,,,,,
CUL3 Support and Awareness,CUL3,https://www.cul3.org,foundation,,https://www.cul3.org/participate-in-research,,,,,
CUL3 Support & Awareness Foundation,CUL3,,foundation,,,,,,,
CYFIP2 Network,CYFIP2,https://www.cyfip2network.org/,foundation,,https://www.cyfip2network.org/take-action,,,,,
Cure DHDDS,DHDDS,https://www.curedhdds.org,foundation,,https://www.curedhdds.org/patient-registry/,,,,,
Cure DHDDS USA,DHDDS,,foundation,,,,,,,
DYNC1H1 Association,DYNC1H1,https://www.dync1h1.org/,foundation,,https://www.dync1h1.org/registry,,,,,
DYNC1H1 Gene Mutation Family Support Group,DYNC1H1,,foundation,,,,,,,
CureARS,EARS2,,foundation,,,,,,,
EIF3F Research Foundation,EIF3F,,foundation,,,,,,,
FAM177A1 Research Fund,FAM177A1,https://www.fam177a1.org/,foundation,,https://www.fam177a1.org/fam177a1-patient-data-collection,,,,,
FAM177A1 Collaborative Research Network,FAM177A1,,foundation,,,,,,,
CureARS,FARS2,,foundation,,,,,,,
FBXL4 parent community group,FBXL4,,family group,,,,,,,
United Mitochondrial Disease Foundation,FBXL4,,foundation,,,,,,,
Comunidad Simons Searchlight,FBXO11,,foundation,,,,,,,
International Society for Mannosidosis & Related Diseases,FUCA1,,foundation,,,,,,,
UK MPS Society,FUCA1,,foundation,,,,,,,
Cure GABRB2,GABRB2,https://www.curegabrb2.org/,foundation,,,,,,,
Cure GABA A Variants,GABRB2,,foundation,,,,,,,
ACD,GAMT,,foundation,,,,,,,
CureGRIN,GRIA1,,foundation,,,,,,,
GRI France,GRIA1,,foundation,,,,,,,
GRIA1 Facebook Group,GRIA1,,family group,,,,,,,
CureGRIN,GRIA2,,foundation,,,,,,,
GRI France,GRIA2,,foundation,,,,,,,
CureGRIN,GRIA3,,foundation,,,,,,,
GRI France,GRIA3,,foundation,,,,,,,
GRIA3 Facebook Group,GRIA3,,family group,,,,,,,
CureGRIN,GRIA4,,foundation,,,,,,,
CureGRIN,GRIK2,,foundation,,,,,,,
GRI France,GRIK2,,foundation,,,,,,,
Hope for HIVEP2,HIVEP2,,foundation,,,,,,,
HNRNP Family Foundation,HNRNPH2,https://www.hnrnp.org/,foundation,,https://hnrnp.org/natural-history-study,yes,,,,
Yellow Brick Road Project,HNRNPH2,,foundation,,,,,,,
HNRNP Family Foundation,HNRNPK,https://www.hnrnp.org/,foundation,,https://hnrnp.org/natural-history-study,yes,,,,
HNRNP-Related Parent Connect,HNRNPK,,family group,,,,,,,
HNRNP Family Foundation,HNRNPR,https://www.hnrnp.org/,foundation,,https://hnrnp.org/natural-history-study,yes,,,,
HNRNP-Related Parent Connect,HNRNPR,,family group,,,,,,,
Costello Kids,HRAS,,foundation,,,,,,,
Costello Syndrome Family Network (CSFN),HRAS,,family group,,,,,,,
Asociación Española IRF2BPL,IRF2BPL,,foundation,,,,,,,
EllysTeam,IRF2BPL,,foundation,,,,,,,
IRF2BPL Foundation,IRF2BPL,,foundation,,,,,,,
Lihi’s Smile,IRF2BPL,,foundation,,,,,,,
Stand by Eli Foundation,IRF2BPL,,foundation,,,,,,,
Tough Genes,IRF2BPL,,foundation,,,,,,,
Yellow for Yiannis,IRF2BPL,,foundation,,,,,,,
iDREAM For a Cure Foundation,IRF2BPL,,foundation,,,,,,,
Simons Foundation,JARID2,,foundation,,,,,,,
Simons Searchlight,JARID2,,foundation,,,,,,,
KDVS Foundation,KANSL1,,foundation,,,,,,,
KAT6 Foundation,KAT6A,,foundation,,,,,,,
KCNC1 Foundation,KCNC1,,foundation,,,,,,,
KARES Foundation,KDM5C,,foundation,,,,,,,
Wiedemann-Steiner Foundation,KMT2A,,foundation,,,,,,,
KMT2C Foundation,KMT2C,,foundation,,,,,,,
KMT2E Foundation O’Donnell-Luria-Rodan Syndrome,KMT2E,,foundation,,,,,,,
Simons Searchlight,KMT5B,,foundation,,,,,,,
KPTN Alliance,KPTN,https://kptnalliance.org/,foundation,,,,,,,
CMD Turkey,LAMA2,,foundation,,,,,,,
Cure CMD,LAMA2,,foundation,,,,,,,
ImpulsaT,LAMA2,,foundation,,,,,,,
LAMA2 France,LAMA2,,foundation,,,,,,,
Olivia Bloomfield Foundation,LAMA2,,foundation,,,,,,,
Struggle Against Muscular Dystrophy LAMA2/UK,LAMA2,,foundation,,,,,,,
Voor Sara,LAMA2,,foundation,,,,,,,
International Society for Mannosidosis & Related Diseases,MANBA,,foundation,,,,,,,
Lost Enzyme Project,MANBA,,foundation,,,,,,,
MAST Foundation,MAST1,,foundation,,,,,,,
MAST1 Facebook Group,MAST1,,family group,,,,,,,
MAST Foundation,MAST3,,foundation,,,,,,,
MAST Foundation,MAST4,,foundation,,,,,,,
MAND Caregiver Support Network,MBD5,,foundation,,,,,,,
MED12 Foundation,MED12,,foundation,,,,,,,
Simons Searchlight Community (4),MYT1L,,family group,,,,,,,
Extra-Vaillants MYT1L,MYT1L,,foundation,,,,,,,
MYT1L Project,MYT1L,,foundation,,,,,,,
NAA15 Families Together,NAA15,,foundation,,,,,,,
Simons Searchlight Community - NAA15 Facebook group,NAA15,,family group,,,,,,,
Channeling Hope,NALCN,https://www.channelinghope.org,foundation,,https://www.channelinghope.org/patient-research/,,,,,
CHF,NALCN,,foundation,,,,,,,
The Rory Belle Foundation,NARS1,https://www.rorybelle.org,foundation,,,,,,,
Rory Belle Foundation,NARS1,,foundation,,,,,,,
NBEA Facebook group,NBEA,,family group,,,,,,,
Simons Searchlight NCKAP1 Facebook community,NCKAP1,,family group,,,,,,,
NEXMIF ITALIA odv,NEXMIF,,foundation,,,,,,,
Unione Italiana Nexmif,NEXMIF,,foundation,,,,,,,
XLID98 Foundation,NEXMIF,,foundation,,,,,,,
Children’s Tumor Foundation,NF1,,foundation,,,,,,,
CureNFwithJack,NF1,,foundation,,,,,,,
NF Network,NF1,,foundation,,,,,,,
Fundacion Niemann-Pick,NPC1,,foundation,,,,,,,
Niemann-Pick Disease Group,NPC1,,foundation,,,,,,,
CureNURR1,NR4A2,https://www.curenurr1.org/,foundation,,https://www.citizen.health/ai-advocate/curenurr1,,,,,
NR4A2 PAG,NR4A2,,foundation,,,,,,,
NUS1 Foundation,NUS1,https://www.nus1foundation.org/,foundation,,https://www.nus1foundation.org/patientregistry,,,,,
PACS1 Foundation,PACS1,,foundation,,,,,,,
PACS2 Research Foundation,PACS2,,foundation,,,,,,,
ANA,PAX6,,foundation,,,,,,,
IWSA,PAX6,,foundation,,,,,,,
PHF21A Facebook group,PHF21A,,family group,,,,,,,
Maggie's Cure,PMM2,,foundation,,,,,,,
White Sutton Syndrome Foundation,POGZ,,foundation,,,,,,,
PolG Foundation,POLG2,,foundation,,,,,,,
PPP2R5D Foundation,PPP2R1A,,foundation,,,,,,,
PPP2R5D Foundation,PPP2R5C,,foundation,,,,,,,
PPP3CA Hope Foundation,PPP3CA,,foundation,,,,,,,
Warburg Micro Foundation,RAB18,,foundation,,,,,,,
Warburg Micro Foundation,RAB3GAP1,,foundation,,,,,,,
Warburg Micro Foundation,RAB3GAP2,,foundation,,,,,,,
CureARS,RARS2,,foundation,,,,,,,
United Mitochondrial Disease Foundation,RARS2,,foundation,,,,,,,
Simons Searchlight Community - RERE Facebook Group,RERE,,family group,,,,,,,
RORB Facebook group,RORB,,family group,,,,,,,
Simons Searchlight Community (5),SETD5,,family group,,,,,,,
Coffin Siris Syndrome Facebook support group,SMARCB1,,family group,,,,,,,
Coffin Siris Syndrome Facebook support group,SMARCC2,,family group,,,,,,,
Coffin-Siris Syndrome Foundation,SMARCC2,,foundation,,,,,,,
Simons Searchlight Community (6),SMARCC2,,family group,,,,,,,
Parents and Researchers Interested in Smith-Magenis Syndrome,SMS,,foundation,,,,,,,
Snap25 Foundation,SNAP25,,foundation,,,,,,,
ZTTK SON-Shine Foundation,SON,,foundation,,,,,,,
STAG1 Gene Foundation,STAG1,,foundation,,,,,,,
Cure Mito,SURF1,,foundation,,,,,,,
BAGOS Foundation,SYT1,,foundation,,,,,,,
TANC2 Facebook group,TANC2,,family group,,,,,,,
TANC2 - Private Facebook group,TANC2,,family group,,,,,,,
TAOK1 Facebook group,TAOK1,,family group,,,,,,,
United Mitochondrial Disease Foundation,TARS2,,foundation,,,,,,,
TBCD Foundation,TBCD,,foundation,,,,,,,
Simons Searchlight TLK2 Facebook community,TLK2,,family group,,,,,,,
TUBB3 Foundation,TUBB3,,foundation,,,,,,,
Progetto Flavia,UGDH,,foundation,,,,,,,
UGDH Foundation,UGDH,,foundation,,,,,,,
UGDH Italia,UGDH,,foundation,,,,,,,
Simons Searchlight UPF3B Facebook community,UPF3B,,family group,,,,,,,
Raging Raymond Foundation,VAMP2,,foundation,,,,,,,
United Mitochondrial Disease Foundation,WARS2,,foundation,,,,,,,
